Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/2/Engine1_Running1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/1;ARO_LH_Eng_running;;ARO_LH_Eng_running_BMC_1;EIU/2;Engine1_Running1;;2;Connection Over Empty;X;;
EIU/2/Engine1_Running2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine1_Running2;EIU/2;Engine1_Running2;;1;Connection Over Empty;;;
EIU/2/Engine1_Running2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARO_LH_Eng_running;;ARO_LH_Eng_running_BMC_2;EIU/2;Engine1_Running2;;2;Connection Over Empty;X;;
EIU/2/Engine1_TCM_For_Flare_FCU;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine1_TCM_For_Flare_FCU;EIU/2;Engine1_TCM_For_Flare_FCU;;1;Priority;X;;
EIU/2/Engine1_TCM_For_Flare_FCU;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BTCM1;EIU/2;Engine1_TCM_For_Flare_FCU;;2;Priority;;;
EIU/2/Engine2_Inlet_Precooler_Press1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_Inlet_Precooler_Press1;EIU/2;Engine2_Inlet_Precooler_Press1;;1;Connection Over Empty;;;
EIU/2/Engine2_Inlet_Precooler_Press1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/1;ARO_RH_BPS_psig;;ARO_RH_BPS_psig_BMC_1;EIU/2;Engine2_Inlet_Precooler_Press1;Psi_To_mBar;2;Connection Over Empty;X;;
EIU/2/Engine2_Inlet_Precooler_Press2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_Inlet_Precooler_Press2;EIU/2;Engine2_Inlet_Precooler_Press2;;1;Connection Over Empty;;;
EIU/2/Engine2_Inlet_Precooler_Press2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARO_RH_BPS_psig;;ARO_RH_BPS_psig_BMC_2;EIU/2;Engine2_Inlet_Precooler_Press2;Psi_To_mBar;2;Connection Over Empty;X;;
EIU/2/Engine2_Running1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_Running1;EIU/2;Engine2_Running1;;1;Connection Over Empty;;;
EIU/2/Engine2_Running1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/1;ARO_RH_Eng_running;;ARO_RH_Eng_running_BMC_1;EIU/2;Engine2_Running1;;2;Connection Over Empty;X;;
EIU/2/Engine2_Running2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_Running2;EIU/2;Engine2_Running2;;1;Connection Over Empty;;;
EIU/2/Engine2_Running2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARO_RH_Eng_running;;ARO_RH_Eng_running_BMC_2;EIU/2;Engine2_Running2;;2;Connection Over Empty;X;;
EIU/2/Engine2_TCM_For_Flare_FCU;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_TCM_For_Flare_FCU;EIU/2;Engine2_TCM_For_Flare_FCU;;1;Priority;X;;
EIU/2/Engine2_TCM_For_Flare_FCU;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BTCM2;EIU/2;Engine2_TCM_For_Flare_FCU;;2;Priority;;;
EIU/2/Essencial115VAC_XP401;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Essencial115VAC_XP401;EIU/2;Essencial115VAC_XP401;;1;Connection Over Empty;;;
EIU/2/Essencial115VAC_XP401;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP401XP;;EP401XP;EIU/2;Essencial115VAC_XP401;;2;Connection Over Empty;X;;
EIU/2/Essencial28VDC_PP401;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Essencial28VDC_PP401;EIU/2;Essencial28VDC_PP401;;1;Connection Over Empty;;;
EIU/2/Essencial28VDC_PP401;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP401PP;;EP401PP;EIU/2;Essencial28VDC_PP401;;2;Connection Over Empty;X;;
EIU/2/FADEC_Soft_GA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;FADEC_Soft_GA_Act;EIU/2;FADEC_Soft_GA_Act;;1;Priority;X;;
EIU/2/FADEC_Soft_GA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGAENG;EIU/2;FADEC_Soft_GA_Act;;2;Priority;;;
EIU/2/K1_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K1_in;EIU/2;K1_in;;1;Connection Over Empty;;;
